"COL0","COL1","COL2"
"A0A","A0A",44930.00
"A0B","A0B",19287.00
"A0C","A0C",11972.00
"A0E","A0E",21209.00
"A0G","A0G",33316.00
"A0H","A0H",16743.00
"A0J","A0J",7497.00
"A0K","A0K",24659.00
"A0L","A0L",7503.00
"A0M","A0M",5468.00
"A0N","A0N",12387.00
"A0P","A0P",13058.00
"A0R","A0R",2661.00
"A1A","A1A",30086.00
"A1B","A1B",20906.00
"A1C","A1C",12713.00
"A1E","A1E",26858.00
"A1G","A1G",5808.00
"A1H","A1H",6469.00
"A1K","A1K",12348.00
"A1L","A1L",22959.00
"A1M","A1M",8405.00
"A1N","A1N",22478.00
"A1S","A1S",6103.00
"A1V","A1V",11890.00
"A1W","A1W",11179.00
"A1X","A1X",15945.00
"A1Y","A1Y",5436.00
"A2A","A2A",9277.00
"A2B","A2B",4739.00
"A2H","A2H",25290.00
"A2N","A2N",8613.00
"A2V","A2V",7447.00
"A5A","A5A",8436.00
"A8A","A8A",6475.00
"B0C","B0C",2748.00
"B0E","B0E",25919.00
"B0H","B0H",9796.00
"B0J","B0J",41032.00
"B0K","B0K",35141.00
"B0L","B0L",2335.00
"B0M","B0M",17448.00
"B0N","B0N",40484.00
"B0P","B0P",41544.00
"B0R","B0R",6090.00
"B0S","B0S",17873.00
"B0T","B0T",14729.00
"B0V","B0V",5658.00
"B0W","B0W",25890.00
"B1A","B1A",14988.00
"B1B","B1B",1237.00
"B1C","B1C",1698.00
"B1E","B1E",1533.00
"B1G","B1G",1796.00
"B1H","B1H",9146.00
"B1J","B1J",1148.00
"B1K","B1K",3336.00
"B1L","B1L",4952.00
"B1M","B1M",1271.00
"B1N","B1N",5605.00
"B1P","B1P",14704.00
"B1R","B1R",4478.00
"B1S","B1S",8826.00
"B1T","B1T",400.00
"B1V","B1V",6088.00
"B1W","B1W",3521.00
"B1X","B1X",921.00
"B1Y","B1Y",5941.00
"B2A","B2A",7711.00
"B2C","B2C",262.00
"B2E","B2E",54.00
"B2G","B2G",15318.00
"B2H","B2H",15332.00
"B2J","B2J",67.00
"B2N","B2N",20816.00
"B2R","B2R",2553.00
"B2S","B2S",8011.00
