"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59"
"A0A","A0A",51.60,18155.00,375.00,320.00,495.00,260.00,5.00,25.00,120.00,2.30,29800.00,32400.00,44770.00,44240.00,490.00,40.00,44770.00,690.00,1040.00,43035.00,245.00,100.00,130.00,10.00,0.00,19745.00,16980.00,2770.00,0.00,19745.00,170.00,19575.00,19745.00,4090.00,5795.00,3035.00,2120.00,990.00,1200.00,1555.00,960.00,19705.00,17335.00,2375.00,2770.00,18.10,36.50,21.80,800.00,813.00,14615.00,5215.00,3995.00,2420.00,1150.00,1840.00,22180.00,22750.00
"A0B","A0B",57.20,8625.00,80.00,100.00,65.00,145.00,0.00,10.00,75.00,2.10,28600.00,31400.00,19115.00,18885.00,205.00,25.00,19110.00,300.00,440.00,18370.00,75.00,35.00,40.00,0.00,0.00,9130.00,8120.00,1015.00,0.00,9130.00,55.00,9080.00,9130.00,1760.00,3175.00,1530.00,990.00,335.00,355.00,590.00,395.00,9120.00,8390.00,730.00,1015.00,25.60,25.20,19.80,700.00,684.00,5940.00,2615.00,1100.00,785.00,355.00,1085.00,9625.00,9670.00
"A0C","A0C",56.40,5240.00,55.00,70.00,75.00,130.00,0.00,10.00,25.00,2.10,26600.00,28600.00,11955.00,11770.00,145.00,40.00,11955.00,195.00,215.00,11550.00,60.00,20.00,30.00,0.00,0.00,5645.00,4885.00,760.00,0.00,5645.00,35.00,5605.00,5645.00,1560.00,1595.00,955.00,675.00,230.00,250.00,210.00,165.00,5625.00,5160.00,465.00,760.00,19.70,31.60,27.20,700.00,690.00,3620.00,1910.00,730.00,470.00,185.00,325.00,5880.00,6090.00
"A0E","A0E",54.80,8785.00,140.00,260.00,265.00,205.00,0.00,15.00,70.00,2.20,27400.00,29400.00,20935.00,20705.00,215.00,0.00,20930.00,240.00,340.00,20355.00,125.00,85.00,35.00,0.00,0.00,9735.00,8325.00,1415.00,0.00,9735.00,110.00,9625.00,9735.00,2195.00,3910.00,1520.00,975.00,195.00,305.00,380.00,250.00,9715.00,8825.00,890.00,1410.00,27.00,27.30,22.10,705.00,689.00,6755.00,3740.00,1435.00,710.00,315.00,565.00,10475.00,10735.00
"A0G","A0G",56.00,13935.00,365.00,190.00,130.00,235.00,0.00,20.00,115.00,2.20,26400.00,28200.00,32830.00,32550.00,245.00,30.00,32830.00,330.00,590.00,31910.00,125.00,50.00,65.00,10.00,0.00,14990.00,12965.00,2030.00,0.00,14990.00,125.00,14860.00,14990.00,3165.00,5410.00,2640.00,1665.00,485.00,580.00,580.00,455.00,14985.00,13640.00,1340.00,2030.00,15.80,32.50,29.20,710.00,728.00,9005.00,4350.00,2020.00,1140.00,565.00,935.00,16485.00,16830.00
"A0H","A0H",55.20,6735.00,255.00,315.00,115.00,105.00,0.00,10.00,70.00,2.20,26800.00,28600.00,16525.00,16435.00,90.00,0.00,16530.00,105.00,280.00,16145.00,35.00,15.00,15.00,0.00,0.00,7590.00,6160.00,1270.00,165.00,7590.00,60.00,7530.00,7590.00,1855.00,2770.00,1025.00,800.00,335.00,300.00,285.00,220.00,7220.00,6460.00,760.00,1250.00,19.20,27.40,18.00,730.00,714.00,5170.00,2900.00,1220.00,560.00,130.00,360.00,8250.00,8495.00
"A0J","A0J",55.60,2980.00,60.00,185.00,75.00,90.00,0.00,5.00,30.00,2.10,26000.00,27600.00,7385.00,7310.00,65.00,0.00,7390.00,80.00,160.00,7155.00,40.00,20.00,20.00,0.00,0.00,3455.00,2790.00,670.00,0.00,3455.00,50.00,3405.00,3455.00,585.00,1250.00,625.00,450.00,135.00,150.00,170.00,90.00,3455.00,3060.00,395.00,670.00,19.40,35.60,21.40,735.00,728.00,2225.00,1240.00,490.00,260.00,55.00,175.00,3690.00,3805.00
"A0K","A0K",55.20,10300.00,125.00,150.00,100.00,205.00,0.00,20.00,115.00,2.20,28400.00,31400.00,24630.00,24265.00,335.00,35.00,24635.00,375.00,445.00,23820.00,230.00,160.00,60.00,0.00,0.00,11090.00,9990.00,1100.00,0.00,11090.00,95.00,11000.00,11090.00,1475.00,4455.00,2335.00,1520.00,330.00,345.00,340.00,290.00,11075.00,10380.00,695.00,1100.00,20.00,24.50,25.20,695.00,696.00,6870.00,4135.00,1140.00,665.00,285.00,640.00,12190.00,12465.00
"A0L","A0L",50.80,2995.00,20.00,85.00,135.00,20.00,0.00,0.00,5.00,2.30,32000.00,36000.00,7375.00,7285.00,95.00,0.00,7375.00,100.00,215.00,7060.00,30.00,15.00,10.00,0.00,0.00,3270.00,2775.00,495.00,0.00,3270.00,35.00,3235.00,3270.00,310.00,1235.00,560.00,485.00,155.00,185.00,155.00,185.00,3260.00,2885.00,375.00,490.00,10.20,29.90,18.80,750.00,804.00,2625.00,850.00,1060.00,415.00,105.00,195.00,3695.00,3810.00
"A0M","A0M",55.60,2290.00,40.00,0.00,75.00,120.00,0.00,15.00,0.00,2.10,29400.00,31800.00,5420.00,5360.00,50.00,0.00,5420.00,65.00,60.00,5295.00,30.00,25.00,10.00,0.00,0.00,2520.00,2150.00,375.00,0.00,2520.00,40.00,2480.00,2520.00,735.00,1005.00,360.00,195.00,45.00,50.00,95.00,35.00,2520.00,2300.00,220.00,370.00,13.50,43.20,13.70,705.00,716.00,1740.00,1120.00,340.00,120.00,45.00,115.00,2640.00,2830.00
