x,y,DAYS_WITH_VALID_MIN_TEMP,NORMAL_PRECIPITATION,STATION_NAME,HEATING_DEGREE_DAYS,SNOW_ON_GROUND_LAST_DAY,DAYS_WITH_VALID_SNOWFALL,TOTAL_PRECIPITATION,MIN_TEMPERATURE,ENG_PROVINCE_NAME,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,LOCAL_MONTH,LATITUDE,NORMAL_MEAN_TEMPERATURE,DAYS_WITH_VALID_PRECIP,LAST_UPDATED,ID,NORMAL_SNOWFALL,MEAN_TEMPERATURE,NORMAL_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,LONGITUDE,TOTAL_SNOWFALL,FRE_PROVINCE_NAME,PROVINCE_CODE,DAYS_WITH_VALID_MAX_TEMP,DAYS_WITH_PRECIP_GE_1MM,CLIMATE_IDENTIFIER,LOCAL_YEAR,DAYS_WITH_VALID_MEAN_TEMP,LOCAL_DATE,BRIGHT_SUNSHINE
-121.41528611111112,50.91500555555555,31,,CACHE CREEK 16 MILE,847.1,,0,,-31,BRITISH COLUMBIA,13,0,1,50.915,,0,2014-07-31 11:48:48,1244.1996.1,,-9.325806451612904,,,-121.415,,COLOMBIE-BRITANNIQUE,BC,31,,1161215,1996,31,1996-01,
-121.41528611111112,50.91500555555555,29,,CACHE CREEK 16 MILE,609.7,0,29,8.6,-25.5,BRITISH COLUMBIA,10,0,2,50.915,,29,2014-07-31 11:48:48,1244.1996.2,,-3.024137931034483,,,-121.415,1,COLOMBIE-BRITANNIQUE,BC,29,5,1161215,1996,29,1996-02,
-121.41528611111112,50.91500555555555,31,,CACHE CREEK 16 MILE,502.4,,31,10.2,-19,BRITISH COLUMBIA,15,0,3,50.915,,31,2014-07-31 11:48:48,1244.1996.3,,1.793548387096774,,,-121.415,3,COLOMBIE-BRITANNIQUE,BC,31,6,1161215,1996,31,1996-03,
-121.41528611111112,50.91500555555555,30,,CACHE CREEK 16 MILE,277.2,0,30,7.6,-4.5,BRITISH COLUMBIA,23,0,4,50.915,,30,2014-07-31 11:48:48,1244.1996.4,,8.76,,,-121.415,0,COLOMBIE-BRITANNIQUE,BC,30,3,1161215,1996,30,1996-04,
-121.41528611111112,50.91500555555555,31,,CACHE CREEK 16 MILE,223.4,0,31,44.4,-2,BRITISH COLUMBIA,25.5,0,5,50.915,,31,2014-07-31 11:48:48,1244.1996.5,,10.793548387096774,,,-121.415,0,COLOMBIE-BRITANNIQUE,BC,31,14,1161215,1996,31,1996-05,
-121.41528611111112,50.91500555555555,30,,CACHE CREEK 16 MILE,72.1,0,30,21.4,2,BRITISH COLUMBIA,27,0.8,6,50.915,,30,2014-07-31 11:48:48,1244.1996.6,,15.623333333333333,,,-121.415,0,COLOMBIE-BRITANNIQUE,BC,30,8,1161215,1996,30,1996-06,
-121.41528611111112,50.91500555555555,31,,CACHE CREEK 16 MILE,15.9,0,31,23,4.5,BRITISH COLUMBIA,37.5,102.7,7,50.915,,31,2014-07-31 11:48:48,1244.1996.7,,20.8,,,-121.415,0,COLOMBIE-BRITANNIQUE,BC,31,3,1161215,1996,31,1996-07,
-121.41528611111112,50.91500555555555,31,,CACHE CREEK 16 MILE,25.2,0,31,35.1,3,BRITISH COLUMBIA,35,53.8,8,50.915,,31,2014-07-31 11:48:48,1244.1996.8,,18.92258064516129,,,-121.415,0,COLOMBIE-BRITANNIQUE,BC,31,6,1161215,1996,31,1996-08,
-121.41528611111112,50.91500555555555,30,,CACHE CREEK 16 MILE,156.3,0,30,41.1,-3,BRITISH COLUMBIA,28,0.3,9,50.915,,30,2014-07-31 11:48:48,1244.1996.9,,12.8,,,-121.415,0,COLOMBIE-BRITANNIQUE,BC,30,12,1161215,1996,30,1996-09,
-121.41528611111112,50.91500555555555,31,,CACHE CREEK 16 MILE,377.1,0,31,22.6,-8.5,BRITISH COLUMBIA,19,0,10,50.915,,31,2014-07-31 11:48:48,1244.1996.10,,5.835483870967742,,,-121.415,4.2,COLOMBIE-BRITANNIQUE,BC,31,8,1161215,1996,31,1996-10,
