x,y,HEATING_DEGREE_DAYS,NORMAL_SNOWFALL,LOCAL_YEAR,LOCAL_MONTH,MIN_TEMPERATURE,ID,DAYS_WITH_VALID_PRECIP,MEAN_TEMPERATURE,NORMAL_PRECIPITATION,DAYS_WITH_VALID_MAX_TEMP,COOLING_DEGREE_DAYS,DAYS_WITH_VALID_SNOWFALL,LONGITUDE,DAYS_WITH_PRECIP_GE_1MM,LOCAL_DATE,NORMAL_SUNSHINE,LATITUDE,SNOW_ON_GROUND_LAST_DAY,PROVINCE_CODE,BRIGHT_SUNSHINE,NORMAL_MEAN_TEMPERATURE,LAST_UPDATED,ENG_PROVINCE_NAME,TOTAL_PRECIPITATION,DAYS_WITH_VALID_SUNSHINE,FRE_PROVINCE_NAME,CLIMATE_IDENTIFIER,DAYS_WITH_VALID_MEAN_TEMP,STATION_NAME,TOTAL_SNOWFALL,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE
-53.11416666666667,48.66722222222222,367.1,,2020,5,-1.3,45047.2020.5,0,6.158064516129032,,31,0,0,-53.114,,2020-05,,48.667,,NL,,,2023-07-20 10:03:50,NEWFOUNDLAND,,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,23.3
-53.11416666666667,48.66722222222222,174.6,,2020,6,3.6,45047.2020.6,0,12.443333333333333,,30,7.9,0,-53.114,,2020-06,,48.667,,NL,,,2023-07-20 10:10:25,NEWFOUNDLAND,,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,27.6
-53.11416666666667,48.66722222222222,130.4,,2020,7,5.1,45047.2020.7,0,14.258064516129032,,31,14.4,0,-53.114,,2020-07,,48.667,,NL,,,2023-07-20 10:09:46,NEWFOUNDLAND,,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,27.3
-53.11416666666667,48.66722222222222,48,,2020,8,10,45047.2020.8,0,17.35483870967742,,31,28,0,-53.114,,2020-08,,48.667,,NL,,,2023-07-20 10:02:41,NEWFOUNDLAND,,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,28.1
-53.11416666666667,48.66722222222222,100.2,,2020,9,5,45047.2020.9,9,14.621428571428572,,28,5.6,0,-53.114,2,2020-09,,48.667,,NL,,,2023-07-20 10:04:39,NEWFOUNDLAND,13.2,0,TERRE-NEUVE,8400601,28,BONAVISTA,,28,24.3
-53.11416666666667,48.66722222222222,284.9,,2020,10,-0.4,45047.2020.10,31,8.80967741935484,,31,0,0,-53.114,10,2020-10,,48.667,,NL,,,2023-07-20 10:00:43,NEWFOUNDLAND,56.3,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,20.3
-53.11416666666667,48.66722222222222,428.3,,2020,11,-5,45047.2020.11,30,3.723333333333333,,30,0,0,-53.114,14,2020-11,,48.667,,NL,,,2023-07-20 10:04:57,NEWFOUNDLAND,86,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,14.6
-53.11416666666667,48.66722222222222,496.1,,2020,12,-4.8,45047.2020.12,31,1.9967741935483871,,31,0,0,-53.114,12,2020-12,,48.667,,NL,,,2023-07-20 10:01:02,NEWFOUNDLAND,125.5,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,13.9
-53.11416666666667,48.66722222222222,570.9,,2021,1,-6.4,45047.2021.1,30,-1.03,,30,0,0,-53.114,10,2021-01,,48.667,5,NL,,,2024-09-25 10:08:19,NEWFOUNDLAND,53.6,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,6
-53.11416666666667,48.66722222222222,574.6,,2021,2,-11.6,45047.2021.2,28,-2.5214285714285714,,28,0,0,-53.114,12,2021-02,,48.667,61,NL,,,2024-09-25 09:52:38,NEWFOUNDLAND,106.5,0,TERRE-NEUVE,8400601,28,BONAVISTA,,28,8.1
-53.11416666666667,48.66722222222222,582.3,,2021,3,-8.9,45047.2021.3,31,-0.7838709677419354,,31,0,0,-53.114,10,2021-03,,48.667,,NL,,,2022-06-30 10:35:05,NEWFOUNDLAND,90.5,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,11.9
-53.11416666666667,48.66722222222222,443.8,,2021,4,-4.8,45047.2021.4,30,3.2066666666666666,,30,0,0,-53.114,15,2021-04,,48.667,,NL,,,2024-09-25 10:04:25,NEWFOUNDLAND,197.1,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,11.7
-53.11416666666667,48.66722222222222,353,,2021,5,-0.7,45047.2021.5,31,6.612903225806452,,31,0,0,-53.114,6,2021-05,,48.667,,NL,,,2022-07-05 10:31:50,NEWFOUNDLAND,37.6,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,19.8
-53.11416666666667,48.66722222222222,157.3,,2021,6,1.4,45047.2021.6,30,12.823333333333334,,30,2,0,-53.114,8,2021-06,,48.667,,NL,,,2024-09-25 10:13:26,NEWFOUNDLAND,34.9,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,27.2
-53.11416666666667,48.66722222222222,100.1,,2021,7,4.8,45047.2021.7,31,15.116129032258064,,31,10.7,0,-53.114,7,2021-07,,48.667,,NL,,,2024-09-25 10:05:22,NEWFOUNDLAND,37.2,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,26
-53.11416666666667,48.66722222222222,59.7,,2021,8,7.3,45047.2021.8,31,17.206451612903226,,31,35.1,0,-53.114,7,2021-08,,48.667,,NL,,,2021-09-01 11:30:53,NEWFOUNDLAND,48.8,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,28.2
-53.11416666666667,48.66722222222222,114.9,,2021,9,3.8,45047.2021.9,28,13.939285714285715,,28,1.2,0,-53.114,10,2021-09,,48.667,,NL,,,2024-09-25 10:12:43,NEWFOUNDLAND,58.8,0,TERRE-NEUVE,8400601,28,BONAVISTA,,28,24.1
-53.11416666666667,48.66722222222222,314.5,,2021,10,1.3,45047.2021.10,31,7.854838709677419,,31,0,0,-53.114,14,2021-10,,48.667,,NL,,,2024-09-25 10:07:10,NEWFOUNDLAND,75.4,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,16.3
