x,y,LAST_UPDATED,NORMAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,DAYS_WITH_VALID_MIN_TEMP,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,ENG_PROVINCE_NAME,DAYS_WITH_VALID_MAX_TEMP,PROVINCE_CODE,SNOW_ON_GROUND_LAST_DAY,MIN_TEMPERATURE,COOLING_DEGREE_DAYS,TOTAL_PRECIPITATION,LATITUDE,STATION_NAME,DAYS_WITH_VALID_MEAN_TEMP,BRIGHT_SUNSHINE,LOCAL_MONTH,MAX_TEMPERATURE,NORMAL_SUNSHINE,LOCAL_YEAR,DAYS_WITH_VALID_PRECIP,DAYS_WITH_VALID_SUNSHINE,FRE_PROVINCE_NAME,ID,LONGITUDE,HEATING_DEGREE_DAYS,LOCAL_DATE,TOTAL_SNOWFALL,NORMAL_MEAN_TEMPERATURE,DAYS_WITH_PRECIP_GE_1MM,NORMAL_PRECIPITATION
-115.5,51.2,2014-07-31 11:49:42,,30,30,11.806666666666667,3050240,ALBERTA,30,AB,,-2.2,0,82.5,51.200,ANTHRACITE,30,,6,27.8,,1931,30,,ALBERTA,2362.1931.6,-115.500,185.8,1931-06,0,,13,
-115.5,51.2,2014-07-31 11:49:42,,31,31,14.92258064516129,3050240,ALBERTA,31,AB,,1.1,7.1,28,51.200,ANTHRACITE,31,,7,31.7,,1931,31,,ALBERTA,2362.1931.7,-115.500,102.5,1931-07,0,,5,
-115.5,51.2,2014-07-31 11:49:42,,31,31,14.293548387096774,3050240,ALBERTA,31,AB,,0.6,1.6,44.7,51.200,ANTHRACITE,31,,8,30.6,,1931,31,,ALBERTA,2362.1931.8,-115.500,116.5,1931-08,0,,6,
-115.5,51.2,2014-07-31 11:49:42,,30,30,8.49,3050240,ALBERTA,30,AB,,-4.4,0,39.7,51.200,ANTHRACITE,30,,9,23.3,,1931,30,,ALBERTA,2362.1931.9,-115.500,285.3,1931-09,0,,10,
-115.5,51.2,2014-07-31 11:49:42,,31,31,4.416129032258064,3050240,ALBERTA,31,AB,,-8.3,0,3.6,51.200,ANTHRACITE,31,,10,18.3,,1931,31,,ALBERTA,2362.1931.10,-115.500,421.1,1931-10,0,,1,
-115.5,51.2,2014-07-31 11:49:42,,0,30,-6.703333333333333,3050240,ALBERTA,30,AB,,-25.6,0,,51.200,ANTHRACITE,30,,11,10.6,,1931,0,,ALBERTA,2362.1931.11,-115.500,741.1,1931-11,,,,
-115.5,51.2,2014-07-31 11:49:42,,0,31,-7.809677419354839,3050240,ALBERTA,31,AB,,-23.3,0,,51.200,ANTHRACITE,31,,12,3.9,,1931,0,,ALBERTA,2362.1931.12,-115.500,800.1,1931-12,,,,
-115.5,51.2,2014-07-31 11:49:42,,0,27,-10.255555555555556,3050240,ALBERTA,27,AB,,-32.2,0,,51.200,ANTHRACITE,27,,1,3.9,,1932,0,,ALBERTA,2362.1932.1,-115.500,762.9,1932-01,,,,
-115.5,51.2,2014-07-31 11:49:42,,29,29,-8.672413793103448,3050240,ALBERTA,29,AB,,-38.3,0,27.5,51.200,ANTHRACITE,29,,2,8.3,,1932,29,,ALBERTA,2362.1932.2,-115.500,773.5,1932-02,0,,3,
-115.5,51.2,2014-07-31 11:49:42,,0,31,-5.138709677419355,3050240,ALBERTA,31,AB,,-30,0,,51.200,ANTHRACITE,31,,3,7.2,,1932,0,,ALBERTA,2362.1932.3,-115.500,717.3,1932-03,,,,
-115.5,51.2,2014-07-31 11:49:42,,30,30,3.42,3050240,ALBERTA,30,AB,,-8.3,0,42.3,51.200,ANTHRACITE,30,,4,18.3,,1932,30,,ALBERTA,2362.1932.4,-115.500,437.4,1932-04,0,,5,
-115.5,51.2,2014-07-31 11:49:42,,31,31,8.083870967741936,3050240,ALBERTA,31,AB,,-5,0,42.9,51.200,ANTHRACITE,31,,5,22.2,,1932,31,,ALBERTA,2362.1932.5,-115.500,307.4,1932-05,0,,6,
-115.5,51.2,2014-07-31 11:49:42,,30,29,12.158620689655173,3050240,ALBERTA,29,AB,,-1.7,0,106.3,51.200,ANTHRACITE,29,,6,28.9,,1932,30,,ALBERTA,2362.1932.6,-115.500,169.4,1932-06,0,,7,
-115.5,51.2,2014-07-31 11:49:42,,31,31,13.680645161290322,3050240,ALBERTA,31,AB,,-2.2,1.1,30.7,51.200,ANTHRACITE,31,,7,30.6,,1932,31,,ALBERTA,2362.1932.7,-115.500,135,1932-07,0,,7,
-115.5,51.2,2014-07-31 11:49:42,,31,31,13.764516129032257,3050240,ALBERTA,31,AB,,-0.6,1.2,77.8,51.200,ANTHRACITE,31,,8,29.4,,1932,31,,ALBERTA,2362.1932.8,-115.500,132.5,1932-08,0,,8,
-115.5,51.2,2014-07-31 11:49:42,,30,30,9.106666666666667,3050240,ALBERTA,30,AB,,-4.4,0,22.9,51.200,ANTHRACITE,30,,9,25,,1932,30,,ALBERTA,2362.1932.9,-115.500,266.8,1932-09,0,,5,
-115.5,51.2,2014-07-31 11:49:42,,31,31,1.8225806451612903,3050240,ALBERTA,31,AB,,-15.6,0,27.9,51.200,ANTHRACITE,31,,10,20,,1932,31,,ALBERTA,2362.1932.10,-115.500,501.5,1932-10,0,,6,
