x,y,SNOW_ON_GROUND_LAST_DAY,FRE_PROVINCE_NAME,PROVINCE_CODE,LAST_UPDATED,LOCAL_MONTH,STATION_NAME,LOCAL_YEAR,MEAN_TEMPERATURE,NORMAL_MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,BRIGHT_SUNSHINE,NORMAL_SNOWFALL,ID,TOTAL_SNOWFALL,DAYS_WITH_VALID_SUNSHINE,MAX_TEMPERATURE,LONGITUDE,ENG_PROVINCE_NAME,NORMAL_SUNSHINE,DAYS_WITH_VALID_MAX_TEMP,DAYS_WITH_VALID_MEAN_TEMP,DAYS_WITH_VALID_MIN_TEMP,NORMAL_PRECIPITATION,LOCAL_DATE,LATITUDE,DAYS_WITH_VALID_PRECIP,DAYS_WITH_VALID_SNOWFALL,COOLING_DEGREE_DAYS,MIN_TEMPERATURE,DAYS_WITH_PRECIP_GE_1MM
-123.07305694444445,51.66722361111111,,COLOMBIE-BRITANNIQUE,BC,2014-07-31 11:48:11,5,BIG CREEK,1970,6.438709677419355,,1080870,358.4,14.5,,,507.1970.5,1.3,,21.1,-123.073,BRITISH COLUMBIA,,31,31,31,,1970-05,51.667,31,31,0,-6.1,3
-123.07305694444445,51.66722361111111,,COLOMBIE-BRITANNIQUE,BC,2014-07-31 11:48:11,6,BIG CREEK,1970,12.88,,1080870,153.6,13.2,,,507.1970.6,0,,29.4,-123.073,BRITISH COLUMBIA,,30,30,30,,1970-06,51.667,30,30,0,-4.4,3
-123.07305694444445,51.66722361111111,,COLOMBIE-BRITANNIQUE,BC,2014-07-31 11:48:11,7,BIG CREEK,1970,13.941935483870967,,1080870,126.6,5.6,,,507.1970.7,0,,30,-123.073,BRITISH COLUMBIA,,31,31,31,,1970-07,51.667,31,31,0.8,-0.6,1
-123.07305694444445,51.66722361111111,,COLOMBIE-BRITANNIQUE,BC,2014-07-31 11:48:11,8,BIG CREEK,1970,13.929032258064517,,1080870,126.9,14.8,,,507.1970.8,0,,29.4,-123.073,BRITISH COLUMBIA,,31,31,31,,1970-08,51.667,31,31,0.7,1.1,3
-123.07305694444445,51.66722361111111,,COLOMBIE-BRITANNIQUE,BC,2014-07-31 11:48:11,9,BIG CREEK,1970,7.57,,1080870,312.9,29.2,,,507.1970.9,0,,25,-123.073,BRITISH COLUMBIA,,30,30,30,,1970-09,51.667,30,30,0,-8.3,10
-123.07305694444445,51.66722361111111,,COLOMBIE-BRITANNIQUE,BC,2014-07-31 11:48:11,10,BIG CREEK,1970,3.0612903225806454,,1080870,463.1,12.4,,,507.1970.10,0,,22.8,-123.073,BRITISH COLUMBIA,,31,31,31,,1970-10,51.667,31,31,0,-11.1,2
-123.07305694444445,51.66722361111111,,COLOMBIE-BRITANNIQUE,BC,2014-07-31 11:48:11,11,BIG CREEK,1970,-7.6,,1080870,768,32.2,,,507.1970.11,32.2,,12.2,-123.073,BRITISH COLUMBIA,,30,30,30,,1970-11,51.667,30,30,0,-31.1,8
-123.07305694444445,51.66722361111111,,COLOMBIE-BRITANNIQUE,BC,2014-07-31 11:48:11,12,BIG CREEK,1970,-13.341935483870968,,1080870,971.6,32.8,,,507.1970.12,32.8,,5.6,-123.073,BRITISH COLUMBIA,,31,31,31,,1970-12,51.667,31,31,0,-34.4,7
-123.07305694444445,51.66722361111111,,COLOMBIE-BRITANNIQUE,BC,2014-07-31 11:48:11,1,BIG CREEK,1971,-10.5,,1080870,855,48.4,,,507.1971.1,24,,13.3,-123.073,BRITISH COLUMBIA,,30,30,31,,1971-01,51.667,31,31,0,-36.1,15
-123.07305694444445,51.66722361111111,,COLOMBIE-BRITANNIQUE,BC,2014-07-31 11:48:11,2,BIG CREEK,1971,-5.828571428571428,,1080870,667.2,36.4,,,507.1971.2,22.9,,10.6,-123.073,BRITISH COLUMBIA,,28,28,28,,1971-02,51.667,28,28,0,-25,6
