x,y,DAYS_WITH_VALID_SUNSHINE,FRE_PROVINCE_NAME,CLIMATE_IDENTIFIER,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,ENG_PROVINCE_NAME,LOCAL_YEAR,PROVINCE_CODE,DAYS_WITH_PRECIP_GE_1MM,SNOW_ON_GROUND_LAST_DAY,DAYS_WITH_VALID_MAX_TEMP,TOTAL_SNOWFALL,NORMAL_SNOWFALL,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,MEAN_TEMPERATURE,LOCAL_MONTH,ID,LATITUDE,NORMAL_MEAN_TEMPERATURE,NORMAL_PRECIPITATION,STATION_NAME,COOLING_DEGREE_DAYS,DAYS_WITH_VALID_MEAN_TEMP,LAST_UPDATED,DAYS_WITH_VALID_MIN_TEMP,DAYS_WITH_VALID_SNOWFALL,LONGITUDE,LOCAL_DATE,MAX_TEMPERATURE,MIN_TEMPERATURE
-119.45,59.18333333333333,,ALBERTA,3070230,126.5,68.1,31,ALBERTA,1995,AB,13,0,31,0,,,,13.935483870967742,7,2650.1995.7,59.183,,,AMBER LO,0.5,31,2014-07-31 11:49:54,31,31,-119.450,1995-07,25,4
-119.45,59.18333333333333,,ALBERTA,3070230,82.5,26.1,19,ALBERTA,1995,AB,4,,19,0,,,,13.657894736842104,8,2650.1995.8,59.183,,,AMBER LO,0,19,2014-07-31 11:49:54,20,19,-119.450,1995-08,25,5
-119.45,59.18333333333333,,ALBERTA,3070230,370.6,14.8,25,ALBERTA,1996,AB,4,0,31,6,,,,6.04516129032258,5,2650.1996.5,59.183,,,AMBER LO,0,31,2014-07-31 11:49:54,31,25,-119.450,1996-05,23,-13
-119.45,59.18333333333333,,ALBERTA,3070230,123.3,28.7,30,ALBERTA,1996,AB,3,0,30,0,,,,13.89,6,2650.1996.6,59.183,,,AMBER LO,0,30,2014-07-31 11:49:54,30,30,-119.450,1996-06,25,4
-119.45,59.18333333333333,,ALBERTA,3070230,81,43.9,31,ALBERTA,1996,AB,10,0,31,0,,,,15.790322580645162,7,2650.1996.7,59.183,,,AMBER LO,12.5,31,2014-07-31 11:49:54,31,31,-119.450,1996-07,31,7
-119.45,59.18333333333333,,ALBERTA,3070230,81.1,99.2,18,ALBERTA,1996,AB,11,,18,0,,,,13.494444444444444,8,2650.1996.8,59.183,,,AMBER LO,0,18,2014-07-31 11:49:54,19,18,-119.450,1996-08,24,5
-119.45,59.18333333333333,,ALBERTA,3070230,261.7,41,26,ALBERTA,1997,AB,6,0,26,19.5,,,,7.532,5,2650.1997.5,59.183,,,AMBER LO,0,25,2014-07-31 11:49:54,25,26,-119.450,1997-05,21,-3
-119.45,59.18333333333333,,ALBERTA,3070230,130.8,144.4,30,ALBERTA,1997,AB,17,0,30,0,,,,13.64,6,2650.1997.6,59.183,,,AMBER LO,0,30,2014-07-31 11:49:54,30,30,-119.450,1997-06,25,1
-119.45,59.18333333333333,,ALBERTA,3070230,72.6,117.5,31,ALBERTA,1997,AB,16,0,31,0,,,,15.787096774193548,7,2650.1997.7,59.183,,,AMBER LO,4,31,2014-07-31 11:49:54,31,31,-119.450,1997-07,26,8
-119.45,59.18333333333333,,ALBERTA,3070230,35.7,29.8,14,ALBERTA,1997,AB,5,,14,0,,,,15.985714285714286,8,2650.1997.8,59.183,,,AMBER LO,7.5,14,2014-07-31 11:49:54,15,14,-119.450,1997-08,28,6
-119.45,59.18333333333333,,ALBERTA,3070230,73.2,12.7,17,ALBERTA,1998,AB,4,0,19,0,,,,14.1,5,2650.1998.5,59.183,,,AMBER LO,3,18,2014-07-31 11:49:54,18,17,-119.450,1998-05,27,2
-119.45,59.18333333333333,,ALBERTA,3070230,118.6,58.2,30,ALBERTA,1998,AB,6,0,30,0,,,,14.363333333333333,6,2650.1998.6,59.183,,,AMBER LO,9.5,30,2014-07-31 11:49:54,30,30,-119.450,1998-06,27,2
-119.45,59.18333333333333,,ALBERTA,3070230,38.8,86.2,31,ALBERTA,1998,AB,9,0,31,0,,,,17.480645161290322,7,2650.1998.7,59.183,,,AMBER LO,22.7,31,2014-07-31 11:49:54,31,31,-119.450,1998-07,29,5
-119.45,59.18333333333333,,ALBERTA,3070230,115.9,79.6,31,ALBERTA,1998,AB,9,0,31,0,,,,14.593548387096774,8,2650.1998.8,59.183,,,AMBER LO,10.3,31,2014-07-31 11:49:54,31,31,-119.450,1998-08,29,4.5
-119.45,59.18333333333333,,ALBERTA,3070230,176.4,27.8,19,ALBERTA,1999,AB,9,,19,5,,,,8.2,5,2650.1999.5,59.183,,,AMBER LO,0,18,2014-07-31 11:49:54,18,19,-119.450,1999-05,25,-4
-119.45,59.18333333333333,,ALBERTA,3070230,203.1,80.4,30,ALBERTA,1999,AB,11,0,30,9,,,,11.38,6,2650.1999.6,59.183,,,AMBER LO,4.5,30,2014-07-31 11:49:54,30,30,-119.450,1999-06,28,-1
-119.45,59.18333333333333,,ALBERTA,3070230,166.5,100,31,ALBERTA,1999,AB,12,0,31,0,,,,12.790322580645162,7,2650.1999.7,59.183,,,AMBER LO,5,31,2014-07-31 11:49:54,31,31,-119.450,1999-07,28,2
-119.45,59.18333333333333,,ALBERTA,3070230,4.5,0,3,ALBERTA,1999,AB,0,,3,0,,,,17.266666666666666,8,2650.1999.8,59.183,,,AMBER LO,2.3,3,2014-07-31 11:49:54,4,3,-119.450,1999-08,29,8
-119.45,59.18333333333333,,ALBERTA,3070230,112.2,11.7,12,ALBERTA,2000,AB,4,,13,0,,,,8.65,5,2650.2000.5,59.183,,,AMBER LO,0,12,2014-07-31 11:49:54,12,12,-119.450,2000-05,19,-2
-119.45,59.18333333333333,,ALBERTA,3070230,167.9,44.6,30,ALBERTA,2000,AB,6,0,30,0,,,,12.553333333333333,6,2650.2000.6,59.183,,,AMBER LO,4.5,30,2014-07-31 11:49:54,30,30,-119.450,2000-06,28,-1
