x,y,FRE_PROVINCE_NAME,HEATING_DEGREE_DAYS,STATION_NAME,NORMAL_SUNSHINE,SNOW_ON_GROUND_LAST_DAY,NORMAL_PRECIPITATION,ID,DAYS_WITH_VALID_MEAN_TEMP,DAYS_WITH_VALID_SUNSHINE,LOCAL_DATE,MIN_TEMPERATURE,NORMAL_SNOWFALL,ENG_PROVINCE_NAME,LATITUDE,LAST_UPDATED,DAYS_WITH_VALID_SNOWFALL,DAYS_WITH_VALID_PRECIP,LOCAL_MONTH,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,NORMAL_MEAN_TEMPERATURE,PROVINCE_CODE,LOCAL_YEAR,TOTAL_SNOWFALL,BRIGHT_SUNSHINE,DAYS_WITH_VALID_MAX_TEMP,DAYS_WITH_PRECIP_GE_1MM,CLIMATE_IDENTIFIER,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,LONGITUDE
-101.05,50.43333333333333,MANITOBA,69,BIRTLE,,,,3469.1990.7,31,,1990-07,5.5,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,7,16.461290322580645,94.2,21.3,,MB,1990,0,,31,9,5010240,31,29.3,-101.050
-101.05,50.43333333333333,MANITOBA,45,BIRTLE,,,,3469.1990.8,31,,1990-08,5.5,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,8,17.470967741935485,48.4,28.6,,MB,1990,0,,31,11,5010240,31,32.5,-101.050
-101.05,50.43333333333333,MANITOBA,171.8,BIRTLE,,,,3469.1990.9,30,,1990-09,-2,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,9,12.476666666666667,74,6.1,,MB,1990,0,,30,4,5010240,30,31.5,-101.050
-101.05,50.43333333333333,MANITOBA,456.8,BIRTLE,,,,3469.1990.10,31,,1990-10,-10,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,10,3.264516129032258,10.4,0,,MB,1990,2.4,,31,2,5010240,31,20.3,-101.050
-101.05,50.43333333333333,MANITOBA,723.7,BIRTLE,,,,3469.1990.11,30,,1990-11,-25,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,11,-6.123333333333333,23.2,0,,MB,1990,16.6,,30,8,5010240,30,11,-101.050
-101.05,50.43333333333333,MANITOBA,1150.6,BIRTLE,,,,3469.1990.12,31,,1990-12,-39,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,12,-19.116129032258065,31,0,,MB,1990,31,,31,7,5010240,31,4.5,-101.050
-101.05,50.43333333333333,MANITOBA,1166.1,BIRTLE,,,,3469.1991.1,31,,1991-01,-39.5,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,1,-19.616129032258065,18.2,0,,MB,1991,18.2,,31,5,5010240,31,2,-101.050
-101.05,50.43333333333333,MANITOBA,777.8,BIRTLE,,,,3469.1991.2,28,,1991-02,-30,,MANITOBA,50.433,2014-07-31 11:50:58,28,28,2,-9.778571428571428,31.3,0,,MB,1991,31.3,,28,6,5010240,28,5.5,-101.050
-101.05,50.43333333333333,MANITOBA,788.8,BIRTLE,,,,3469.1991.3,31,,1991-03,-33,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,3,-7.445161290322581,26.2,0,,MB,1991,26.2,,31,4,5010240,31,7,-101.050
-101.05,50.43333333333333,MANITOBA,361.4,BIRTLE,,0,,3469.1991.4,30,,1991-04,-7,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,4,5.953333333333333,54.2,0,,MB,1991,7.3,,30,9,5010240,30,22.5,-101.050
-101.05,50.43333333333333,MANITOBA,183.6,BIRTLE,,,,3469.1991.5,31,,1991-05,-4.5,,MANITOBA,50.433,2014-07-31 11:50:58,29,29,5,12.387096774193548,73.8,9.6,,MB,1991,0,,31,7,5010240,31,30,-101.050
-101.05,50.43333333333333,MANITOBA,39,BIRTLE,,0,,3469.1991.6,30,,1991-06,4.5,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,6,17.266666666666666,79.8,17,,MB,1991,0,,30,9,5010240,30,27,-101.050
-101.05,50.43333333333333,MANITOBA,38.1,BIRTLE,,0,,3469.1991.7,31,,1991-07,5,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,7,17.703225806451613,115.5,28.9,,MB,1991,0,,31,12,5010240,31,29.5,-101.050
-101.05,50.43333333333333,MANITOBA,23.7,BIRTLE,,0,,3469.1991.8,31,,1991-08,6,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,8,18.954838709677418,24.2,53.3,,MB,1991,0,,31,6,5010240,31,33.5,-101.050
-101.05,50.43333333333333,MANITOBA,222.8,BIRTLE,,0,,3469.1991.9,30,,1991-09,-4,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,9,10.876666666666667,58.3,9.1,,MB,1991,4.2,,30,8,5010240,30,32,-101.050
-101.05,50.43333333333333,MANITOBA,550.6,BIRTLE,,,,3469.1991.10,31,,1991-10,-23,,MANITOBA,50.433,2014-07-31 11:50:58,29,29,10,0.23870967741935484,42,0,,MB,1991,34.2,,31,7,5010240,31,21,-101.050
-101.05,50.43333333333333,MANITOBA,808.7,BIRTLE,,,,3469.1991.11,29,,1991-11,-30.5,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,11,-9.886206896551725,24.6,0,,MB,1991,22.2,,30,10,5010240,29,8,-101.050
-101.05,50.43333333333333,MANITOBA,970.3,BIRTLE,,,,3469.1991.12,31,,1991-12,-35.5,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,12,-13.3,49.2,0,,MB,1991,49.2,,31,9,5010240,31,4,-101.050
-101.05,50.43333333333333,MANITOBA,944.6,BIRTLE,,,,3469.1992.1,31,,1992-01,-36,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,1,-12.470967741935484,18.6,0,,MB,1992,18.6,,31,7,5010240,31,3,-101.050
-101.05,50.43333333333333,MANITOBA,844.8,BIRTLE,,,,3469.1992.2,29,,1992-02,-34,,MANITOBA,50.433,2014-07-31 11:50:58,29,29,2,-11.13103448275862,18.6,0,,MB,1992,18.6,,29,5,5010240,29,6,-101.050
-101.05,50.43333333333333,MANITOBA,719.1,BIRTLE,,,,3469.1992.3,31,,1992-03,-22,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,3,-5.196774193548387,12.8,0,,MB,1992,3.4,,31,3,5010240,31,5.5,-101.050
-101.05,50.43333333333333,MANITOBA,496.7,BIRTLE,,0,,3469.1992.4,30,,1992-04,-15.5,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,4,1.4433333333333334,16.8,0,,MB,1992,4,,30,2,5010240,30,24.5,-101.050
-101.05,50.43333333333333,MANITOBA,226.9,BIRTLE,,0,,3469.1992.5,31,,1992-05,-3,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,5,11.216129032258065,68.4,16.6,,MB,1992,3,,31,11,5010240,31,33.5,-101.050
-101.05,50.43333333333333,MANITOBA,133.5,BIRTLE,,0,,3469.1992.6,30,,1992-06,0.5,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,6,13.87,39.6,9.6,,MB,1992,0,,30,9,5010240,30,30,-101.050
-101.05,50.43333333333333,MANITOBA,99.2,BIRTLE,,0,,3469.1992.7,31,,1992-07,3,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,7,14.841935483870968,111.3,1.3,,MB,1992,0,,31,15,5010240,31,25.5,-101.050
-101.05,50.43333333333333,MANITOBA,120.6,BIRTLE,,0,,3469.1992.8,30,,1992-08,-1,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,8,14.403333333333334,29.4,12.7,,MB,1992,0,,31,6,5010240,30,32,-101.050
-101.05,50.43333333333333,MANITOBA,250,BIRTLE,,0,,3469.1992.9,30,,1992-09,-5.5,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,9,9.76,65.6,2.8,,MB,1992,5,,30,12,5010240,30,28.5,-101.050
-101.05,50.43333333333333,MANITOBA,434.4,BIRTLE,,0,,3469.1992.10,31,,1992-10,-17,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,10,4.077419354838709,16.4,2.8,,MB,1992,9,,31,5,5010240,31,32.5,-101.050
-101.05,50.43333333333333,MANITOBA,679.1,BIRTLE,,,,3469.1992.11,30,,1992-11,-15.5,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,11,-4.636666666666667,20.3,0,,MB,1992,19.1,,30,8,5010240,30,3.5,-101.050
-101.05,50.43333333333333,MANITOBA,1113.7,BIRTLE,,,,3469.1992.12,31,,1992-12,-39.5,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,12,-17.925806451612903,14.4,0,,MB,1992,14.4,,31,4,5010240,31,-1,-101.050
-101.05,50.43333333333333,MANITOBA,1101.4,BIRTLE,,,,3469.1993.1,31,,1993-01,-40,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,1,-17.529032258064515,11.4,0,,MB,1993,11.4,,31,5,5010240,31,5.5,-101.050
-101.05,50.43333333333333,MANITOBA,907.1,BIRTLE,,,,3469.1993.2,28,,1993-02,-31.5,,MANITOBA,50.433,2014-07-31 11:50:58,28,28,2,-14.396428571428572,1.4,0,,MB,1993,1.4,,28,1,5010240,28,5,-101.050
-101.05,50.43333333333333,MANITOBA,683.3,BIRTLE,,,,3469.1993.3,31,,1993-03,-26,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,3,-4.041935483870968,19.4,0,,MB,1993,12.4,,31,4,5010240,31,18.5,-101.050
-101.05,50.43333333333333,MANITOBA,431.1,BIRTLE,,0,,3469.1993.4,30,,1993-04,-11.5,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,4,3.63,20.8,0,,MB,1993,4.4,,30,6,5010240,30,21,-101.050
-101.05,50.43333333333333,MANITOBA,231.9,BIRTLE,,0,,3469.1993.5,31,,1993-05,-5.5,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,5,10.583870967741936,26.3,2,,MB,1993,9.4,,31,4,5010240,31,30,-101.050
-101.05,50.43333333333333,MANITOBA,155.9,BIRTLE,,0,,3469.1993.6,30,,1993-06,-0.5,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,6,13.193333333333333,126.4,11.7,,MB,1993,0,,30,10,5010240,30,32,-101.050
-101.05,50.43333333333333,MANITOBA,91.7,BIRTLE,,0,,3469.1993.7,31,,1993-07,3,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,7,15.216129032258065,131.7,5.4,,MB,1993,0,,31,11,5010240,31,26.5,-101.050
-101.05,50.43333333333333,MANITOBA,86.5,BIRTLE,,0,,3469.1993.8,31,,1993-08,1,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,8,15.580645161290322,103.5,11.5,,MB,1993,0,,31,13,5010240,31,29.5,-101.050
-101.05,50.43333333333333,MANITOBA,262.9,BIRTLE,,0,,3469.1993.9,30,,1993-09,-4.5,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,9,9.236666666666666,58.2,0,,MB,1993,5,,30,11,5010240,30,24,-101.050
-101.05,50.43333333333333,MANITOBA,486.7,BIRTLE,,1,,3469.1993.10,31,,1993-10,-14,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,10,2.3,12.9,0,,MB,1993,2.3,,31,7,5010240,31,20.5,-101.050
-101.05,50.43333333333333,MANITOBA,774.4,BIRTLE,,6,,3469.1993.11,30,,1993-11,-24.5,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,11,-7.8133333333333335,15.8,0,,MB,1993,15,,30,8,5010240,30,3.5,-101.050
-101.05,50.43333333333333,MANITOBA,925.4,BIRTLE,,8,,3469.1993.12,31,,1993-12,-35,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,12,-11.851612903225806,6.6,0,,MB,1993,6.6,,31,5,5010240,31,0,-101.050
-101.05,50.43333333333333,MANITOBA,1293.8,BIRTLE,,26,,3469.1994.1,31,,1994-01,-38,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,1,-23.73548387096774,28,0,,MB,1994,28,,31,9,5010240,31,-6.5,-101.050
-101.05,50.43333333333333,MANITOBA,1074.4,BIRTLE,,,,3469.1994.2,28,,1994-02,-38,,MANITOBA,50.433,2014-07-31 11:50:58,28,28,2,-20.37142857142857,5.4,0,,MB,1994,5.4,,28,2,5010240,28,-3,-101.050
-101.05,50.43333333333333,MANITOBA,654.7,BIRTLE,,,,3469.1994.3,31,,1994-03,-21.5,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,3,-3.1193548387096772,1.8,0,,MB,1994,1.8,,31,1,5010240,31,12.5,-101.050
-101.05,50.43333333333333,MANITOBA,456.8,BIRTLE,,0,,3469.1994.4,30,,1994-04,-14,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,4,2.7733333333333334,15.2,0,,MB,1994,12,,30,2,5010240,30,25.5,-101.050
