x,y,SNOW_ON_GROUND_LAST_DAY,COOLING_DEGREE_DAYS,DAYS_WITH_VALID_MIN_TEMP,LAST_UPDATED,FRE_PROVINCE_NAME,LONGITUDE,TOTAL_SNOWFALL,MEAN_TEMPERATURE,NORMAL_PRECIPITATION,NORMAL_SNOWFALL,BRIGHT_SUNSHINE,LOCAL_DATE,ENG_PROVINCE_NAME,STATION_NAME,LOCAL_MONTH,DAYS_WITH_VALID_SNOWFALL,PROVINCE_CODE,DAYS_WITH_VALID_MEAN_TEMP,HEATING_DEGREE_DAYS,DAYS_WITH_VALID_PRECIP,TOTAL_PRECIPITATION,LOCAL_YEAR,MAX_TEMPERATURE,LATITUDE,CLIMATE_IDENTIFIER,DAYS_WITH_VALID_SUNSHINE,MIN_TEMPERATURE,NORMAL_MEAN_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SUNSHINE,ID
-126.685,52.370555555555555,,0,31,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,8.261290322580646,68.68,,,1920-05,BRITISH COLUMBIA,BELLA COOLA,5,31,BC,31,301.9,31,66.1,1920,17.8,52.371,1060840,,-1.1,11.79,31,11,,380.1920.5
-126.685,52.370555555555555,,0,30,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,12.05,66.46,,,1920-06,BRITISH COLUMBIA,BELLA COOLA,6,30,BC,30,178.5,30,98.7,1920,24.4,52.371,1060840,,3.9,14.67,30,17,,380.1920.6
-126.685,52.370555555555555,,18.8,31,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,16.596774193548388,50.5,,,1920-07,BRITISH COLUMBIA,BELLA COOLA,7,31,BC,31,62.3,31,63.5,1920,30,52.371,1060840,,4.4,17,31,9,,380.1920.7
-126.685,52.370555555555555,,7.2,31,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,15.661290322580646,64.46,,,1920-08,BRITISH COLUMBIA,BELLA COOLA,8,31,BC,31,79.7,31,88.2,1920,26.7,52.371,1060840,,4.4,16.8,31,9,,380.1920.8
-126.685,52.370555555555555,,0,30,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,11.096666666666666,111.63,,,1920-09,BRITISH COLUMBIA,BELLA COOLA,9,30,BC,30,207.1,30,121,1920,22.8,52.371,1060840,,2.2,13.16,30,16,,380.1920.9
-126.685,52.370555555555555,,0,31,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,6.2612903225806456,235.08,2.3,,1920-10,BRITISH COLUMBIA,BELLA COOLA,10,31,BC,31,363.9,31,196.1,1920,13.3,52.371,1060840,,-1.1,8.01,31,17,,380.1920.10
-126.685,52.370555555555555,,0,30,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,7.6,3.67,255.19,25.1,,1920-11,BRITISH COLUMBIA,BELLA COOLA,11,30,BC,30,429.9,30,185.2,1920,12.8,52.371,1060840,,-3.3,2.68,30,15,,380.1920.11
-126.685,52.370555555555555,,0,31,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,44.1,0.4129032258064516,199.83,38.9,,1920-12,BRITISH COLUMBIA,BELLA COOLA,12,31,BC,31,545.2,31,202,1920,5.6,52.371,1060840,,-5.6,-0.44,31,20,,380.1920.12
-126.685,52.370555555555555,,0,31,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,84.7,-1.2806451612903227,221.46,36.46,,1921-01,BRITISH COLUMBIA,BELLA COOLA,1,31,BC,31,597.7,31,144.4,1921,5.6,52.371,1060840,,-11.1,-0.07,31,17,,380.1921.1
-126.685,52.370555555555555,,0,28,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,8.8,0.6857142857142857,147.78,25.6,,1921-02,BRITISH COLUMBIA,BELLA COOLA,2,28,BC,28,484.8,28,167.2,1921,10,52.371,1060840,,-11.7,1.49,28,15,,380.1921.2
-126.685,52.370555555555555,,0,31,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,24.2,2.693548387096774,112.05,4.99,,1921-03,BRITISH COLUMBIA,BELLA COOLA,3,31,BC,31,474.5,31,69,1921,13.3,52.371,1060840,,-12.2,4.78,31,13,,380.1921.3
-126.685,52.370555555555555,,0,30,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,1.3,6.1033333333333335,98.63,0.4,,1921-04,BRITISH COLUMBIA,BELLA COOLA,4,30,BC,30,356.9,30,62.6,1921,18.3,52.371,1060840,,-3.3,8.18,30,9,,380.1921.4
-126.685,52.370555555555555,,0,31,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,10.264516129032257,68.68,,,1921-05,BRITISH COLUMBIA,BELLA COOLA,5,31,BC,31,239.8,31,45.8,1921,24.4,52.371,1060840,,-0.6,11.79,31,5,,380.1921.5
-126.685,52.370555555555555,,0,30,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,13.256666666666666,66.46,,,1921-06,BRITISH COLUMBIA,BELLA COOLA,6,30,BC,30,142.3,30,46.7,1921,26.7,52.371,1060840,,5,14.67,30,11,,380.1921.6
-126.685,52.370555555555555,,0.1,31,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,14.264516129032257,50.5,,,1921-07,BRITISH COLUMBIA,BELLA COOLA,7,31,BC,31,115.9,31,29.5,1921,24.4,52.371,1060840,,5,17,31,6,,380.1921.7
-126.685,52.370555555555555,,1.9,31,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,14.806451612903226,64.46,,,1921-08,BRITISH COLUMBIA,BELLA COOLA,8,31,BC,31,100.9,31,114.7,1921,27.2,52.371,1060840,,5,16.8,31,14,,380.1921.8
-126.685,52.370555555555555,,0,30,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,10.94,111.63,,,1921-09,BRITISH COLUMBIA,BELLA COOLA,9,30,BC,30,211.8,30,224.5,1921,23.3,52.371,1060840,,2.2,13.16,30,15,,380.1921.9
-126.685,52.370555555555555,,0,31,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,8.364516129032259,235.08,2.3,,1921-10,BRITISH COLUMBIA,BELLA COOLA,10,31,BC,31,298.7,31,144.1,1921,20.6,52.371,1060840,,-1.1,8.01,31,16,,380.1921.10
-126.685,52.370555555555555,,0,30,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,7.6,1.1466666666666667,255.19,25.1,,1921-11,BRITISH COLUMBIA,BELLA COOLA,11,30,BC,30,505.6,30,157,1921,10.6,52.371,1060840,,-12.2,2.68,30,17,,380.1921.11
-126.685,52.370555555555555,,0,31,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,16.6,-2.8033333333333332,199.83,38.9,,1921-12,BRITISH COLUMBIA,BELLA COOLA,12,31,BC,30,624.1,31,98.7,1921,8.9,52.371,1060840,,-14.4,-0.44,30,11,,380.1921.12
-126.685,52.370555555555555,,0,31,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,34.2,-1.6612903225806452,221.46,36.46,,1922-01,BRITISH COLUMBIA,BELLA COOLA,1,31,BC,31,609.5,31,149,1922,5,52.371,1060840,,-13.9,-0.07,31,11,,380.1922.1
-126.685,52.370555555555555,,0,28,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,63.5,-5.357142857142857,147.78,25.6,,1922-02,BRITISH COLUMBIA,BELLA COOLA,2,28,BC,28,654,28,101.7,1922,7.8,52.371,1060840,,-18.3,1.49,28,7,,380.1922.2
-126.685,52.370555555555555,,0,31,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,2.706451612903226,112.05,4.99,,1922-03,BRITISH COLUMBIA,BELLA COOLA,3,31,BC,31,474.1,31,76.7,1922,11.1,52.371,1060840,,-3.9,4.78,31,10,,380.1922.3
-126.685,52.370555555555555,,0,30,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,6.246666666666667,98.63,0.4,,1922-04,BRITISH COLUMBIA,BELLA COOLA,4,30,BC,30,352.6,30,72.7,1922,18.3,52.371,1060840,,-2.8,8.18,30,8,,380.1922.4
-126.685,52.370555555555555,,0.6,31,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,9.874193548387098,68.68,,,1922-05,BRITISH COLUMBIA,BELLA COOLA,5,31,BC,31,252.5,31,131.7,1922,29.4,52.371,1060840,,1.7,11.79,31,18,,380.1922.5
-126.685,52.370555555555555,,0.1,30,2014-07-31 11:48:03,COLOMBIE-BRITANNIQUE,-126.685,0,14.68,66.46,,,1922-06,BRITISH COLUMBIA,BELLA COOLA,6,30,BC,30,99.7,30,9.6,1922,26.7,52.371,1060840,,2.8,14.67,30,2,,380.1922.6
