x,y,FRE_PROVINCE_NAME,MAX_TEMPERATURE,DAYS_WITH_VALID_SUNSHINE,LONGITUDE,COOLING_DEGREE_DAYS,BRIGHT_SUNSHINE,LOCAL_YEAR,ID,NORMAL_MEAN_TEMPERATURE,DAYS_WITH_PRECIP_GE_1MM,NORMAL_PRECIPITATION,DAYS_WITH_VALID_MAX_TEMP,MEAN_TEMPERATURE,LOCAL_DATE,TOTAL_SNOWFALL,LOCAL_MONTH,NORMAL_SNOWFALL,DAYS_WITH_VALID_PRECIP,CLIMATE_IDENTIFIER,STATION_NAME,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,ENG_PROVINCE_NAME,TOTAL_PRECIPITATION,PROVINCE_CODE,DAYS_WITH_VALID_MEAN_TEMP,NORMAL_SUNSHINE,LATITUDE,LAST_UPDATED,DAYS_WITH_VALID_MIN_TEMP,MIN_TEMPERATURE,HEATING_DEGREE_DAYS
-122.21666666666667,50.733333333333334,COLOMBIE-BRITANNIQUE,,,-122.217,,,1945,571.1945.12,,13,,0,,1945-12,10.9,12,,31,1090990,BRIDGE RIVER,31,,BRITISH COLUMBIA,52.2,BC,0,,50.733,2014-07-31 11:48:13,0,,
-122.21666666666667,50.733333333333334,COLOMBIE-BRITANNIQUE,,,-122.217,,,1946,571.1946.1,,10,,0,,1946-01,23,1,,31,1090990,BRIDGE RIVER,31,,BRITISH COLUMBIA,57.7,BC,0,,50.733,2014-07-31 11:48:13,0,,
-122.21666666666667,50.733333333333334,COLOMBIE-BRITANNIQUE,,,-122.217,,,1946,571.1946.2,,11,,0,,1946-02,16.8,2,,28,1090990,BRIDGE RIVER,28,,BRITISH COLUMBIA,49,BC,0,,50.733,2014-07-31 11:48:13,0,,
-122.21666666666667,50.733333333333334,COLOMBIE-BRITANNIQUE,,,-122.217,,,1946,571.1946.3,,7,,0,,1946-03,0.8,3,,31,1090990,BRIDGE RIVER,31,,BRITISH COLUMBIA,66.6,BC,0,,50.733,2014-07-31 11:48:13,0,,
-122.21666666666667,50.733333333333334,COLOMBIE-BRITANNIQUE,,,-122.217,,,1946,571.1946.4,,8,,0,,1946-04,0,4,,30,1090990,BRIDGE RIVER,30,,BRITISH COLUMBIA,31.3,BC,0,,50.733,2014-07-31 11:48:13,0,,
-122.21666666666667,50.733333333333334,COLOMBIE-BRITANNIQUE,,,-122.217,,,1946,571.1946.5,,3,,0,,1946-05,0,5,,31,1090990,BRIDGE RIVER,31,,BRITISH COLUMBIA,6.9,BC,0,,50.733,2014-07-31 11:48:13,0,,
-122.21666666666667,50.733333333333334,COLOMBIE-BRITANNIQUE,,,-122.217,,,1946,571.1946.6,,7,,0,,1946-06,0,6,,30,1090990,BRIDGE RIVER,30,,BRITISH COLUMBIA,59.5,BC,0,,50.733,2014-07-31 11:48:13,0,,
-122.21666666666667,50.733333333333334,COLOMBIE-BRITANNIQUE,,,-122.217,,,1946,571.1946.7,,0,,0,,1946-07,0,7,,31,1090990,BRIDGE RIVER,31,,BRITISH COLUMBIA,0.8,BC,0,,50.733,2014-07-31 11:48:13,0,,
-122.21666666666667,50.733333333333334,COLOMBIE-BRITANNIQUE,,,-122.217,,,1946,571.1946.8,,5,,0,,1946-08,0,8,,31,1090990,BRIDGE RIVER,31,,BRITISH COLUMBIA,15.5,BC,0,,50.733,2014-07-31 11:48:13,0,,
-122.21666666666667,50.733333333333334,COLOMBIE-BRITANNIQUE,,,-122.217,,,1946,571.1946.9,,5,,0,,1946-09,0,9,,30,1090990,BRIDGE RIVER,30,,BRITISH COLUMBIA,16,BC,0,,50.733,2014-07-31 11:48:13,0,,
-122.21666666666667,50.733333333333334,COLOMBIE-BRITANNIQUE,,,-122.217,,,1946,571.1946.10,,4,,0,,1946-10,0,10,,31,1090990,BRIDGE RIVER,31,,BRITISH COLUMBIA,16.9,BC,0,,50.733,2014-07-31 11:48:13,0,,
-122.21666666666667,50.733333333333334,COLOMBIE-BRITANNIQUE,,,-122.217,,,1946,571.1946.11,,8,,0,,1946-11,20.8,11,,30,1090990,BRIDGE RIVER,30,,BRITISH COLUMBIA,59.5,BC,0,,50.733,2014-07-31 11:48:13,0,,
-122.21666666666667,50.733333333333334,COLOMBIE-BRITANNIQUE,,,-122.217,,,1946,571.1946.12,,10,,0,,1946-12,11.5,12,,31,1090990,BRIDGE RIVER,31,,BRITISH COLUMBIA,54.8,BC,0,,50.733,2014-07-31 11:48:13,0,,
-122.21666666666667,50.733333333333334,COLOMBIE-BRITANNIQUE,,,-122.217,,,1947,571.1947.1,,12,,0,,1947-01,12.2,1,,31,1090990,BRIDGE RIVER,31,,BRITISH COLUMBIA,53.1,BC,0,,50.733,2014-07-31 11:48:13,0,,
-122.21666666666667,50.733333333333334,COLOMBIE-BRITANNIQUE,,,-122.217,,,1947,571.1947.2,,5,,0,,1947-02,38.4,2,,28,1090990,BRIDGE RIVER,28,,BRITISH COLUMBIA,45.2,BC,0,,50.733,2014-07-31 11:48:13,0,,
